Lead ID,Signup Date,Channel,Campaign,Device,Region,Funnel Stage Reached,Days to Convert,Plan,Deal Value
LD2386,2024-03-28,Referral,Affiliate Program,Desktop,Europe,SQL,,,
LD5422,2024-09-20,Email Marketing,Monthly Newsletter,Desktop,Asia Pacific,SQL,,,
LD3088,2024-05-24,Organic Search,Blog SEO,Mobile,North America,MQL,,,
LD4837,2024-08-23,Email Marketing,Monthly Newsletter,Desktop,North America,Lead,,,
LD1372,2024-01-08,Referral,Affiliate Program,Mobile,Latin America,Customer,29.0,Pro,2995.2
LD5624,2024-10-05,Organic Search,Landing Page SEO,Mobile,Europe,Lead,,,
LD5454,2024-09-03,Referral,Affiliate Program,Desktop,North America,MQL,,,
LD6905,2024-11-11,Referral,Affiliate Program,Mobile,North America,MQL,,,
LD2331,2024-03-01,Referral,Partner Program,Desktop,Latin America,Customer,42.0,Pro,3982.19
LD3544,2024-05-14,Direct,Direct / Type-in,Desktop,Latin America,SQL,,,
LD5929,2024-10-15,Social Media,Facebook Ads,Mobile,North America,Lead,,,
LD7565,2024-12-05,Email Marketing,Promo Blast,Mobile,North America,SQL,,,
LD4635,2024-08-08,Paid Search,Google Ads - Generic,Desktop,North America,MQL,,,
LD7143,2024-12-28,Organic Search,Blog SEO,Desktop,Asia Pacific,SQL,,,
LD2486,2024-04-21,Organic Search,Landing Page SEO,Desktop,Europe,Lead,,,
LD4791,2024-08-07,Email Marketing,Monthly Newsletter,Desktop,Latin America,MQL,,,
LD4173,2024-07-04,Paid Search,Google Ads - Generic,Desktop,Europe,MQL,,,
LD2836,2024-04-20,Email Marketing,Promo Blast,Desktop,North America,Lead,,,
LD1123,2024-01-04,Paid Search,Google Ads - Generic,Mobile,Asia Pacific,MQL,,,
LD1480,2024-01-02,Direct,Direct / Type-in,Tablet,North America,MQL,,,
LD3743,2024-06-01,Social Media,LinkedIn Ads,Tablet,Asia Pacific,SQL,,,
LD6572,2024-11-02,Paid Search,Google Ads - Brand,Desktop,North America,SQL,,,
LD2587,2024-04-03,Paid Search,Google Ads - Brand,Desktop,Europe,Lead,,,
LD3264,2024-05-19,Social Media,LinkedIn Ads,Desktop,North America,SQL,,,
LD5405,2024-09-04,Email Marketing,Promo Blast,Desktop,North America,SQL,,,
LD1941,2024-02-23,Direct,Direct / Type-in,Tablet,Asia Pacific,Lead,,,
LD5961,2024-10-20,Email Marketing,Monthly Newsletter,Mobile,Asia Pacific,MQL,,,
LD1440,2024-01-02,Direct,Direct / Type-in,Tablet,Europe,SQL,,,
LD4974,2024-08-22,Direct,Direct / Type-in,Desktop,Europe,Lead,,,
LD6129,2024-10-02,Email Marketing,Promo Blast,Mobile,North America,SQL,,,
LD7128,2024-12-19,Organic Search,Landing Page SEO,Mobile,North America,Lead,,,
LD5908,2024-10-02,Social Media,Facebook Ads,Desktop,Asia Pacific,Lead,,,
LD5451,2024-09-07,Referral,Affiliate Program,Mobile,Asia Pacific,MQL,,,
LD4542,2024-08-01,Organic Search,Blog SEO,Desktop,Asia Pacific,Lead,,,
LD6498,2024-11-27,Paid Search,Google Ads - Generic,Mobile,Asia Pacific,SQL,,,
LD6738,2024-11-11,Email Marketing,Monthly Newsletter,Desktop,Europe,MQL,,,
LD5457,2024-09-13,Referral,Affiliate Program,Desktop,Latin America,SQL,,,
LD5686,2024-10-06,Organic Search,Landing Page SEO,Desktop,North America,Lead,,,
LD5690,2024-10-21,Organic Search,Blog SEO,Mobile,North America,Lead,,,
LD1280,2024-01-11,Email Marketing,Promo Blast,Desktop,North America,Lead,,,
LD2730,2024-04-14,Social Media,Instagram Ads,Desktop,Europe,Lead,,,
LD6709,2024-11-21,Email Marketing,Promo Blast,Desktop,Europe,SQL,,,
LD5777,2024-10-25,Paid Search,Google Ads - Brand,Desktop,North America,MQL,,,
LD6858,2024-11-22,Email Marketing,Promo Blast,Tablet,North America,Lead,,,
LD4681,2024-08-20,Social Media,LinkedIn Ads,Mobile,North America,Lead,,,
LD2102,2024-03-10,Paid Search,Google Ads - Generic,Mobile,Europe,MQL,,,
LD4186,2024-07-27,Paid Search,Google Ads - Brand,Mobile,Europe,SQL,,,
LD5417,2024-09-15,Email Marketing,Monthly Newsletter,Mobile,North America,Lead,,,
LD4474,2024-07-25,Direct,Direct / Type-in,Desktop,North America,Customer,39.0,Basic,1317.0
LD1578,2024-02-28,Paid Search,Google Ads - Generic,Mobile,North America,MQL,,,
LD1060,2024-01-26,Organic Search,Blog SEO,Desktop,Asia Pacific,MQL,,,
LD6013,2024-10-22,Email Marketing,Promo Blast,Desktop,North America,Lead,,,
LD1788,2024-02-25,Email Marketing,Promo Blast,Mobile,Europe,SQL,,,
LD4806,2024-08-13,Email Marketing,Promo Blast,Desktop,Europe,MQL,,,
LD5311,2024-09-12,Email Marketing,Monthly Newsletter,Desktop,Asia Pacific,SQL,,,
LD3570,2024-06-14,Organic Search,Blog SEO,Mobile,Europe,Lead,,,
LD4888,2024-08-05,Referral,Partner Program,Mobile,North America,Lead,,,
LD4353,2024-07-26,Email Marketing,Monthly Newsletter,Mobile,North America,Lead,,,
LD2663,2024-04-05,Paid Search,Google Ads - Generic,Desktop,Asia Pacific,Lead,,,
LD6889,2024-11-13,Email Marketing,Monthly Newsletter,Tablet,North America,MQL,,,
LD7223,2024-12-26,Paid Search,Google Ads - Generic,Desktop,North America,SQL,,,
LD4879,2024-08-28,Referral,Partner Program,Mobile,Asia Pacific,MQL,,,
LD6996,2024-11-25,Referral,Affiliate Program,Tablet,North America,MQL,,,
LD4979,2024-08-06,Direct,Direct / Type-in,Mobile,North America,Lead,,,
LD4533,2024-08-25,Organic Search,Blog SEO,Desktop,Latin America,Lead,,,
LD1421,2024-01-18,Referral,Partner Program,Desktop,North America,Lead,,,
LD5731,2024-10-21,Paid Search,Google Ads - Brand,Mobile,Asia Pacific,Lead,,,
LD1554,2024-02-21,Organic Search,Landing Page SEO,Desktop,North America,Customer,21.0,Basic,897.47
LD2481,2024-04-08,Organic Search,Blog SEO,Desktop,Asia Pacific,Lead,,,
LD6588,2024-11-24,Paid Search,Google Ads - Generic,Desktop,Latin America,Lead,,,
LD7262,2024-12-08,Paid Search,Google Ads - Brand,Tablet,North America,Lead,,,
LD2965,2024-04-04,Direct,Direct / Type-in,Desktop,North America,MQL,,,
LD6342,2024-11-27,Organic Search,Blog SEO,Desktop,Asia Pacific,MQL,,,
LD5094,2024-09-16,Organic Search,Blog SEO,Desktop,Europe,Lead,,,
LD7289,2024-12-03,Paid Search,Google Ads - Generic,Desktop,Asia Pacific,MQL,,,
LD3272,2024-05-13,Social Media,Facebook Ads,Desktop,Europe,MQL,,,
LD2510,2024-04-09,Organic Search,Landing Page SEO,Desktop,North America,MQL,,,
LD5997,2024-10-09,Email Marketing,Monthly Newsletter,Mobile,Asia Pacific,MQL,,,
LD2411,2024-03-08,Direct,Direct / Type-in,Desktop,Asia Pacific,Lead,,,
LD1182,2024-01-28,Social Media,LinkedIn Ads,Desktop,Asia Pacific,MQL,,,
LD6871,2024-11-14,Email Marketing,Monthly Newsletter,Mobile,North America,Lead,,,
LD1795,2024-02-28,Email Marketing,Promo Blast,Desktop,Asia Pacific,Lead,,,
LD5754,2024-10-21,Paid Search,Google Ads - Brand,Desktop,North America,Lead,,,
LD5516,2024-09-17,Referral,Affiliate Program,Mobile,North America,SQL,,,
LD2282,2024-03-05,Email Marketing,Promo Blast,Desktop,Europe,SQL,,,
LD3203,2024-05-09,Paid Search,Google Ads - Generic,Mobile,Europe,MQL,,,
LD4122,2024-07-10,Paid Search,Google Ads - Brand,Desktop,North America,Lead,,,
LD5906,2024-10-15,Social Media,Instagram Ads,Mobile,North America,Lead,,,
LD1531,2024-02-26,Organic Search,Landing Page SEO,Desktop,Asia Pacific,Lead,,,
LD6253,2024-10-11,Direct,Direct / Type-in,Desktop,North America,Lead,,,
LD1711,2024-02-11,Email Marketing,Promo Blast,Desktop,North America,MQL,,,
LD2213,2024-03-09,Email Marketing,Promo Blast,Mobile,North America,Lead,,,
LD5005,2024-08-27,Direct,Direct / Type-in,Mobile,Europe,Lead,,,
LD6710,2024-11-09,Email Marketing,Monthly Newsletter,Desktop,Europe,Lead,,,
LD6898,2024-11-24,Email Marketing,Promo Blast,Mobile,North America,Lead,,,
LD6641,2024-11-03,Social Media,Instagram Ads,Desktop,Europe,Lead,,,
LD1908,2024-02-03,Direct,Direct / Type-in,Mobile,Europe,Lead,,,
LD5716,2024-10-08,Organic Search,Landing Page SEO,Mobile,Asia Pacific,Lead,,,
LD6811,2024-11-20,Email Marketing,Promo Blast,Desktop,Europe,SQL,,,
LD4363,2024-07-16,Email Marketing,Promo Blast,Mobile,Europe,Lead,,,
LD4613,2024-08-04,Paid Search,Google Ads - Generic,Mobile,Asia Pacific,MQL,,,
LD6553,2024-11-26,Paid Search,Google Ads - Generic,Mobile,North America,MQL,,,
LD2600,2024-04-12,Paid Search,Google Ads - Brand,Mobile,North America,SQL,,,
LD4104,2024-07-24,Organic Search,Blog SEO,Mobile,Europe,MQL,,,
LD4488,2024-07-26,Direct,Direct / Type-in,Mobile,Asia Pacific,Lead,,,
LD1927,2024-02-06,Direct,Direct / Type-in,Desktop,North America,SQL,,,
LD3830,2024-06-25,Email Marketing,Promo Blast,Mobile,North America,MQL,,,
LD4906,2024-08-25,Referral,Affiliate Program,Desktop,Europe,MQL,,,
LD1016,2024-01-12,Organic Search,Blog SEO,Tablet,North America,MQL,,,
LD7133,2024-12-12,Organic Search,Blog SEO,Desktop,Latin America,Lead,,,
LD1316,2024-01-22,Email Marketing,Promo Blast,Desktop,North America,Customer,53.0,Pro,2780.78
LD3252,2024-05-23,Social Media,LinkedIn Ads,Desktop,North America,Lead,,,
LD6678,2024-11-12,Social Media,LinkedIn Ads,Tablet,Europe,MQL,,,
LD2162,2024-03-24,Social Media,Instagram Ads,Desktop,Europe,Lead,,,
LD5853,2024-10-02,Social Media,Facebook Ads,Desktop,Europe,SQL,,,
LD6285,2024-10-23,Direct,Direct / Type-in,Mobile,North America,Lead,,,
LD7317,2024-12-26,Paid Search,Google Ads - Brand,Desktop,Europe,Lead,,,
LD2224,2024-03-26,Email Marketing,Monthly Newsletter,Desktop,North America,Lead,,,
LD5482,2024-09-28,Referral,Partner Program,Mobile,Asia Pacific,MQL,,,
LD7246,2024-12-15,Paid Search,Google Ads - Brand,Desktop,North America,Customer,31.0,Basic,544.1
LD6268,2024-10-06,Direct,Direct / Type-in,Tablet,North America,MQL,,,
LD6640,2024-11-08,Social Media,LinkedIn Ads,Mobile,Asia Pacific,MQL,,,
LD7399,2024-12-11,Social Media,Instagram Ads,Mobile,Asia Pacific,Lead,,,
LD7362,2024-12-21,Social Media,Instagram Ads,Desktop,North America,Lead,,,
LD3869,2024-06-03,Email Marketing,Monthly Newsletter,Desktop,Europe,MQL,,,
LD6857,2024-11-06,Email Marketing,Promo Blast,Mobile,North America,Customer,54.0,Pro,1565.35
LD6346,2024-11-02,Organic Search,Landing Page SEO,Mobile,Asia Pacific,Lead,,,
LD3099,2024-05-24,Organic Search,Landing Page SEO,Mobile,North America,Lead,,,
LD7259,2024-12-16,Paid Search,Google Ads - Brand,Desktop,North America,Lead,,,
LD6019,2024-10-21,Email Marketing,Monthly Newsletter,Mobile,North America,MQL,,,
LD5379,2024-09-27,Email Marketing,Promo Blast,Desktop,North America,MQL,,,
LD5751,2024-10-10,Paid Search,Google Ads - Brand,Mobile,North America,MQL,,,
LD3943,2024-06-17,Referral,Affiliate Program,Mobile,Asia Pacific,Lead,,,
LD4492,2024-07-01,Direct,Direct / Type-in,Desktop,Europe,Lead,,,
LD5366,2024-09-13,Email Marketing,Promo Blast,Desktop,North America,SQL,,,
LD2033,2024-03-24,Organic Search,Landing Page SEO,Mobile,North America,MQL,,,
LD7211,2024-12-22,Paid Search,Google Ads - Brand,Desktop,Asia Pacific,MQL,,,
LD6953,2024-11-03,Referral,Affiliate Program,Mobile,North America,Lead,,,
LD7499,2024-12-26,Email Marketing,Monthly Newsletter,Desktop,Asia Pacific,SQL,,,
LD7383,2024-12-26,Social Media,Instagram Ads,Mobile,North America,Lead,,,
LD3645,2024-06-23,Paid Search,Google Ads - Brand,Desktop,Asia Pacific,MQL,,,
LD2011,2024-03-16,Organic Search,Landing Page SEO,Desktop,Europe,MQL,,,
LD2346,2024-03-15,Referral,Partner Program,Mobile,Europe,Customer,47.0,Pro,3926.77
LD2806,2024-04-09,Email Marketing,Promo Blast,Mobile,Europe,MQL,,,
LD1692,2024-02-24,Social Media,LinkedIn Ads,Desktop,Europe,Customer,39.0,Pro,3512.37
LD1534,2024-02-05,Organic Search,Blog SEO,Mobile,Asia Pacific,Lead,,,
LD4990,2024-08-19,Direct,Direct / Type-in,Desktop,Asia Pacific,Lead,,,
LD2884,2024-04-19,Referral,Partner Program,Desktop,North America,MQL,,,
LD1653,2024-02-15,Social Media,Instagram Ads,Mobile,Latin America,MQL,,,
LD1034,2024-01-21,Organic Search,Blog SEO,Desktop,Europe,Lead,,,
LD7213,2024-12-17,Paid Search,Google Ads - Generic,Mobile,North America,SQL,,,
LD1045,2024-01-17,Organic Search,Landing Page SEO,Tablet,North America,Lead,,,
LD4160,2024-07-24,Paid Search,Google Ads - Brand,Desktop,Europe,Lead,,,
LD4743,2024-08-03,Social Media,Instagram Ads,Mobile,Europe,Lead,,,
LD1965,2024-03-28,Organic Search,Landing Page SEO,Mobile,Europe,Lead,,,
LD3174,2024-05-13,Paid Search,Google Ads - Generic,Tablet,Europe,MQL,,,
LD2619,2024-04-05,Paid Search,Google Ads - Generic,Desktop,North America,Lead,,,
LD4127,2024-07-27,Paid Search,Google Ads - Brand,Desktop,North America,Lead,,,
LD3092,2024-05-08,Organic Search,Blog SEO,Desktop,Europe,Lead,,,
LD4222,2024-07-23,Social Media,Facebook Ads,Mobile,North America,Lead,,,
LD6725,2024-11-21,Email Marketing,Promo Blast,Desktop,North America,Lead,,,
LD7025,2024-11-06,Direct,Direct / Type-in,Mobile,North America,MQL,,,
LD2336,2024-03-08,Referral,Affiliate Program,Desktop,Europe,Lead,,,
LD6239,2024-10-28,Direct,Direct / Type-in,Desktop,North America,Lead,,,
LD3139,2024-05-19,Paid Search,Google Ads - Generic,Desktop,Europe,MQL,,,
LD1027,2024-01-14,Organic Search,Blog SEO,Mobile,Asia Pacific,Lead,,,
LD4335,2024-07-26,Email Marketing,Monthly Newsletter,Mobile,North America,MQL,,,
LD1064,2024-01-27,Organic Search,Landing Page SEO,Tablet,North America,Lead,,,
LD2045,2024-03-23,Paid Search,Google Ads - Brand,Desktop,North America,Lead,,,
LD3482,2024-05-20,Referral,Partner Program,Desktop,North America,Customer,13.0,Basic,570.28
LD7080,2024-11-20,Direct,Direct / Type-in,Mobile,Europe,Lead,,,
LD1228,2024-01-20,Social Media,Facebook Ads,Desktop,North America,SQL,,,
LD3185,2024-05-21,Paid Search,Google Ads - Brand,Mobile,Asia Pacific,MQL,,,
LD3847,2024-06-23,Email Marketing,Monthly Newsletter,Desktop,Asia Pacific,MQL,,,
LD6574,2024-11-16,Paid Search,Google Ads - Brand,Mobile,North America,Lead,,,
LD2558,2024-04-06,Organic Search,Blog SEO,Tablet,Latin America,Lead,,,
LD4210,2024-07-22,Paid Search,Google Ads - Generic,Mobile,North America,Lead,,,
LD1970,2024-03-23,Organic Search,Blog SEO,Desktop,Europe,Lead,,,
LD5435,2024-09-27,Email Marketing,Monthly Newsletter,Desktop,North America,Lead,,,
LD2749,2024-04-04,Email Marketing,Monthly Newsletter,Tablet,North America,MQL,,,
LD6245,2024-10-06,Direct,Direct / Type-in,Desktop,Europe,MQL,,,
LD5769,2024-10-28,Paid Search,Google Ads - Generic,Desktop,Asia Pacific,MQL,,,
LD5291,2024-09-14,Social Media,Instagram Ads,Desktop,Europe,MQL,,,
LD3532,2024-05-07,Direct,Direct / Type-in,Tablet,North America,MQL,,,
LD3207,2024-05-22,Paid Search,Google Ads - Generic,Desktop,North America,Lead,,,
LD4409,2024-07-26,Referral,Partner Program,Desktop,Europe,SQL,,,
LD6701,2024-11-19,Email Marketing,Promo Blast,Desktop,Europe,SQL,,,
LD5305,2024-09-02,Email Marketing,Promo Blast,Mobile,Europe,Lead,,,
LD6814,2024-11-03,Email Marketing,Monthly Newsletter,Desktop,Asia Pacific,Lead,,,
LD2375,2024-03-16,Referral,Affiliate Program,Mobile,Europe,Lead,,,
LD3043,2024-05-26,Organic Search,Blog SEO,Mobile,North America,Lead,,,
LD1253,2024-01-24,Email Marketing,Monthly Newsletter,Mobile,North America,Customer,34.0,Basic,1266.16
LD4551,2024-08-26,Organic Search,Blog SEO,Desktop,North America,Lead,,,
LD5388,2024-09-16,Email Marketing,Monthly Newsletter,Mobile,Europe,MQL,,,
LD3299,2024-05-01,Email Marketing,Promo Blast,Desktop,North America,MQL,,,
LD6662,2024-11-04,Social Media,LinkedIn Ads,Desktop,Asia Pacific,Lead,,,
LD4560,2024-08-12,Organic Search,Landing Page SEO,Desktop,North America,SQL,,,
LD7509,2024-12-24,Email Marketing,Monthly Newsletter,Desktop,Latin America,MQL,,,
LD6038,2024-10-19,Email Marketing,Monthly Newsletter,Mobile,North America,MQL,,,
LD6150,2024-10-20,Referral,Affiliate Program,Desktop,Europe,MQL,,,
LD5632,2024-10-19,Organic Search,Landing Page SEO,Desktop,Latin America,SQL,,,
LD7388,2024-12-25,Social Media,Instagram Ads,Tablet,Asia Pacific,Lead,,,
LD5995,2024-10-18,Email Marketing,Promo Blast,Mobile,North America,MQL,,,
LD4642,2024-08-06,Paid Search,Google Ads - Generic,Desktop,Europe,MQL,,,
LD7352,2024-12-26,Social Media,Facebook Ads,Desktop,North America,MQL,,,
LD1642,2024-02-21,Paid Search,Google Ads - Brand,Desktop,North America,Lead,,,
LD5082,2024-09-22,Organic Search,Landing Page SEO,Mobile,North America,Customer,26.0,Basic,908.86
LD2353,2024-03-19,Referral,Partner Program,Mobile,North America,MQL,,,
LD1298,2024-01-03,Email Marketing,Monthly Newsletter,Desktop,Latin America,Lead,,,
LD1304,2024-01-18,Email Marketing,Monthly Newsletter,Desktop,North America,Lead,,,
LD3186,2024-05-20,Paid Search,Google Ads - Generic,Mobile,North America,Lead,,,
LD4078,2024-07-24,Organic Search,Blog SEO,Desktop,North America,Lead,,,
LD3918,2024-06-16,Referral,Affiliate Program,Desktop,Asia Pacific,SQL,,,
LD2733,2024-04-17,Social Media,Instagram Ads,Mobile,North America,Lead,,,
LD5126,2024-09-10,Paid Search,Google Ads - Brand,Mobile,Europe,Lead,,,
LD1656,2024-02-06,Social Media,LinkedIn Ads,Mobile,North America,Lead,,,
LD5865,2024-10-08,Social Media,Facebook Ads,Tablet,Europe,Lead,,,
LD4937,2024-08-09,Referral,Affiliate Program,Desktop,North America,Lead,,,
LD4850,2024-08-10,Email Marketing,Promo Blast,Mobile,North America,Lead,,,
LD1241,2024-01-10,Email Marketing,Promo Blast,Mobile,North America,Customer,54.0,Pro,1768.56
LD1784,2024-02-15,Email Marketing,Monthly Newsletter,Desktop,North America,Lead,,,
LD2019,2024-03-27,Organic Search,Landing Page SEO,Desktop,Latin America,Lead,,,
LD3754,2024-06-04,Social Media,Instagram Ads,Desktop,Europe,MQL,,,
LD1978,2024-03-09,Organic Search,Landing Page SEO,Desktop,North America,Lead,,,
LD3023,2024-05-16,Organic Search,Blog SEO,Desktop,Latin America,SQL,,,
LD4007,2024-06-09,Direct,Direct / Type-in,Tablet,North America,Lead,,,
LD5909,2024-10-14,Social Media,LinkedIn Ads,Desktop,North America,SQL,,,
LD1258,2024-01-15,Email Marketing,Promo Blast,Mobile,Asia Pacific,SQL,,,
LD1894,2024-02-11,Direct,Direct / Type-in,Desktop,North America,Lead,,,
LD6428,2024-11-26,Organic Search,Blog SEO,Mobile,Europe,Lead,,,
LD5221,2024-09-14,Paid Search,Google Ads - Brand,Desktop,North America,MQL,,,
LD5004,2024-08-17,Direct,Direct / Type-in,Mobile,Asia Pacific,MQL,,,
LD7465,2024-12-06,Email Marketing,Promo Blast,Desktop,Europe,Lead,,,
LD2508,2024-04-13,Organic Search,Landing Page SEO,Desktop,Europe,MQL,,,
LD7455,2024-12-05,Email Marketing,Promo Blast,Desktop,North America,MQL,,,
LD3276,2024-05-18,Social Media,Facebook Ads,Desktop,North America,MQL,,,
LD3790,2024-06-12,Social Media,LinkedIn Ads,Tablet,North America,Lead,,,
LD6911,2024-11-19,Referral,Partner Program,Desktop,Europe,SQL,,,
LD3209,2024-05-12,Paid Search,Google Ads - Generic,Mobile,Europe,MQL,,,
LD3081,2024-05-22,Organic Search,Landing Page SEO,Desktop,Asia Pacific,MQL,,,
LD2917,2024-04-22,Referral,Partner Program,Tablet,Europe,MQL,,,
LD5177,2024-09-10,Paid Search,Google Ads - Brand,Mobile,North America,Lead,,,
LD4833,2024-08-24,Email Marketing,Monthly Newsletter,Tablet,North America,Lead,,,
LD3771,2024-06-25,Social Media,Facebook Ads,Desktop,North America,MQL,,,
LD5833,2024-10-09,Paid Search,Google Ads - Generic,Desktop,North America,Lead,,,
LD2601,2024-04-07,Paid Search,Google Ads - Generic,Tablet,North America,SQL,,,
LD3466,2024-05-10,Referral,Affiliate Program,Mobile,North America,Customer,25.0,Pro,1639.82
LD2546,2024-04-08,Organic Search,Blog SEO,Mobile,Latin America,Lead,,,
LD6122,2024-10-25,Email Marketing,Monthly Newsletter,Mobile,North America,SQL,,,
LD4786,2024-08-01,Email Marketing,Promo Blast,Mobile,North America,Customer,10.0,Basic,1195.46
LD2537,2024-04-21,Organic Search,Landing Page SEO,Mobile,North America,Lead,,,
LD3227,2024-05-26,Social Media,Instagram Ads,Mobile,Latin America,SQL,,,
LD7023,2024-11-01,Direct,Direct / Type-in,Mobile,North America,Lead,,,
LD3560,2024-05-10,Direct,Direct / Type-in,Mobile,Europe,Lead,,,
LD2093,2024-03-21,Paid Search,Google Ads - Generic,Desktop,Europe,SQL,,,
LD7500,2024-12-17,Email Marketing,Monthly Newsletter,Desktop,Europe,MQL,,,
LD1125,2024-01-19,Paid Search,Google Ads - Brand,Mobile,Europe,Lead,,,
LD7656,2024-12-21,Referral,Partner Program,Desktop,North America,SQL,,,
LD2756,2024-04-17,Email Marketing,Promo Blast,Mobile,North America,SQL,,,
LD5128,2024-09-07,Paid Search,Google Ads - Brand,Desktop,North America,Lead,,,
LD4516,2024-08-04,Organic Search,Blog SEO,Desktop,Latin America,MQL,,,
LD4019,2024-06-10,Direct,Direct / Type-in,Desktop,North America,MQL,,,
LD3587,2024-06-07,Organic Search,Blog SEO,Desktop,Asia Pacific,MQL,,,
LD5530,2024-09-14,Referral,Partner Program,Mobile,North America,Lead,,,
LD3620,2024-06-13,Organic Search,Blog SEO,Mobile,North America,MQL,,,
LD1599,2024-02-13,Paid Search,Google Ads - Generic,Desktop,Asia Pacific,MQL,,,
LD1076,2024-01-25,Organic Search,Blog SEO,Desktop,Asia Pacific,Lead,,,
LD2340,2024-03-18,Referral,Affiliate Program,Desktop,North America,MQL,,,
LD2406,2024-03-09,Direct,Direct / Type-in,Mobile,North America,Lead,,,
LD6941,2024-11-04,Referral,Partner Program,Mobile,North America,SQL,,,
LD3967,2024-06-19,Referral,Partner Program,Desktop,North America,Lead,,,
LD5564,2024-09-24,Direct,Direct / Type-in,Mobile,North America,MQL,,,
LD7124,2024-12-11,Organic Search,Landing Page SEO,Desktop,Asia Pacific,Lead,,,
LD1150,2024-01-14,Paid Search,Google Ads - Generic,Tablet,Europe,Lead,,,
LD4893,2024-08-05,Referral,Partner Program,Desktop,Europe,Lead,,,
LD6369,2024-11-24,Organic Search,Landing Page SEO,Desktop,Asia Pacific,Lead,,,
LD1454,2024-01-21,Direct,Direct / Type-in,Mobile,North America,Customer,57.0,Basic,1077.43
LD5061,2024-09-10,Organic Search,Blog SEO,Desktop,Asia Pacific,Lead,,,
LD5425,2024-09-05,Email Marketing,Monthly Newsletter,Desktop,Europe,MQL,,,
LD5079,2024-09-03,Organic Search,Landing Page SEO,Tablet,North America,Lead,,,
LD1809,2024-02-08,Email Marketing,Monthly Newsletter,Desktop,Europe,MQL,,,
LD6699,2024-11-18,Email Marketing,Monthly Newsletter,Mobile,North America,Customer,58.0,Basic,532.98
LD4537,2024-08-06,Organic Search,Blog SEO,Tablet,North America,Lead,,,
LD2120,2024-03-17,Paid Search,Google Ads - Brand,Desktop,North America,MQL,,,
LD1811,2024-02-06,Email Marketing,Monthly Newsletter,Mobile,Europe,Customer,53.0,Pro,4522.8
LD2130,2024-03-12,Paid Search,Google Ads - Generic,Mobile,Latin America,Lead,,,
LD1835,2024-02-18,Referral,Affiliate Program,Desktop,Europe,MQL,,,
LD7670,2024-12-25,Referral,Affiliate Program,Desktop,Europe,MQL,,,
LD6217,2024-10-06,Referral,Affiliate Program,Desktop,Latin America,Lead,,,
LD7489,2024-12-15,Email Marketing,Promo Blast,Mobile,North America,MQL,,,
LD4378,2024-07-14,Referral,Partner Program,Desktop,Europe,Lead,,,
LD2236,2024-03-15,Email Marketing,Promo Blast,Desktop,Europe,Lead,,,
LD2226,2024-03-03,Email Marketing,Promo Blast,Desktop,North America,Lead,,,
LD4128,2024-07-09,Paid Search,Google Ads - Brand,Mobile,Asia Pacific,Lead,,,
LD5205,2024-09-27,Paid Search,Google Ads - Generic,Desktop,North America,Lead,,,
LD7623,2024-12-06,Referral,Affiliate Program,Mobile,Europe,Lead,,,
LD4011,2024-06-15,Direct,Direct / Type-in,Tablet,North America,SQL,,,
LD2478,2024-03-16,Direct,Direct / Type-in,Mobile,North America,SQL,,,
LD5752,2024-10-22,Paid Search,Google Ads - Brand,Mobile,North America,Lead,,,
LD5476,2024-09-21,Referral,Partner Program,Desktop,North America,SQL,,,
LD2028,2024-03-21,Organic Search,Blog SEO,Desktop,North America,Lead,,,
LD5944,2024-10-19,Social Media,LinkedIn Ads,Tablet,North America,Lead,,,
LD3019,2024-05-19,Organic Search,Blog SEO,Desktop,Europe,Lead,,,
LD1350,2024-01-11,Referral,Affiliate Program,Mobile,Europe,Customer,22.0,Basic,659.72
LD7160,2024-12-12,Organic Search,Blog SEO,Desktop,Asia Pacific,MQL,,,
LD1663,2024-02-06,Social Media,LinkedIn Ads,Desktop,Europe,Lead,,,
LD1173,2024-01-24,Paid Search,Google Ads - Brand,Mobile,Europe,Lead,,,
LD5455,2024-09-04,Referral,Affiliate Program,Desktop,Europe,SQL,,,
LD5384,2024-09-02,Email Marketing,Promo Blast,Desktop,Europe,MQL,,,
LD1423,2024-01-11,Direct,Direct / Type-in,Desktop,North America,MQL,,,
LD5919,2024-10-07,Social Media,Instagram Ads,Desktop,North America,Lead,,,
LD2544,2024-04-23,Organic Search,Blog SEO,Desktop,Europe,Lead,,,
LD1882,2024-02-24,Referral,Affiliate Program,Desktop,Latin America,SQL,,,
LD3190,2024-05-03,Paid Search,Google Ads - Brand,Mobile,North America,Lead,,,
LD2254,2024-03-04,Email Marketing,Promo Blast,Mobile,Europe,Customer,31.0,Basic,938.11
LD6982,2024-11-07,Referral,Partner Program,Mobile,Europe,SQL,,,
LD6839,2024-11-07,Email Marketing,Promo Blast,Mobile,North America,Customer,28.0,Basic,653.84
LD6883,2024-11-15,Email Marketing,Monthly Newsletter,Mobile,Asia Pacific,Lead,,,
LD7321,2024-12-11,Paid Search,Google Ads - Brand,Mobile,Asia Pacific,Lead,,,
LD4700,2024-08-13,Social Media,Facebook Ads,Desktop,Europe,Lead,,,
LD1103,2024-01-22,Paid Search,Google Ads - Generic,Desktop,Europe,MQL,,,
LD6658,2024-11-15,Social Media,Instagram Ads,Mobile,Asia Pacific,Lead,,,
LD6844,2024-11-15,Email Marketing,Promo Blast,Tablet,Latin America,Lead,,,
